"YEAR";"MONTH";"MONEDA";"VMUSD";"VMUTM";"VMCLP";"VMCLF";"VMEUR"
2008;7;"EUR";1,57601696395522;0,0222043567406561;791,540909090909;0,0388088401132299;1
2008;7;"USD";1;0,0140889071935694;502,241363636364;0,0246246334911486;0,634510936665537
2008;7;"UTM";70,9778257646857;1;35648;1,74780294545399;45,0362067084341
2008;8;"CLF";40,0197299722645;0,571491432886412;20678,274516129;1;26,6698065840827
2008;8;"CLP";0,0019353515178962;2,76372882292789e-05;1;4,83599344432729e-05;0,00128975009802101
2008;8;"EUR";1,50056318729171;0,0214284056048421;775,344;0,037495585010985;1
2008;8;"USD";1;0,0142802421026449;516,702;0,024987674846708;0,666416455147651
2008;8;"UTM";70,026823972038;1;36183;1,74980750796094;46,6670277966941
2008;9;"CLF";39,4144588842573;0,571235440984846;20896,3636666667;1;27,38438067331
2008;9;"CLP";0,00188618744930871;2,73365955003964e-05;1;4,78552161491702e-05;0,00131048545623241
2008;9;"EUR";1,4393043740687;0,0208598999480605;763,076;0,0365171669182442;1
2008;9;"USD";1;0,0144930428364451;530,17;0,0253713999458056;0,694780074330735
2008;9;"UTM";68,998623083162;1;36581;1,75059166195279;47,9388684744377
2008;10;"CLF";34,1178801184829;0,571615035701488;21098,3109677419;1;25,593211868345
2008;10;"CLP";0,00161709058941482;2,70929287455974e-05;1;4,73971590204041e-05;0,00121304553276684
2008;10;"EUR";1,33308317431943;0,022334634614911;824,371363636363;0,0390728606141401;1
2008;10;"USD";1;0,0167541193566661;618,394545454545;0,0293101446082596;0,750140740851018
2008;10;"UTM";59,686813655301;1;36910;1,74942913944311;44,7735106144241
2008;11;"CLF";32,7186094361444;0,571238985957766;21316,354;1;25,6808071802903
2008;11;"CLP";0,00153490645896312;2,67981562868475e-05;1;4,69123378228753e-05;0,0012047467020059
2008;11;"EUR";1,27404910626234;0,0222438096258977;830,05;0,0389395860098777;1
2008;11;"USD";1;0,0174591462107407;651,5055;0,0305636461094613;0,784899102463707
2008;11;"UTM";57,276569422668;1;37316;1,75058079819842;44,9563279320523
2008;12;"CLF";33,0420010143172;0,569816117380561;21454,7164516129;1;24,6118226085469
2008;12;"CLP";0,00154008099285941;2,65590141293955e-05;1;4,66097980020064e-05;0,00114715208024558
2008;12;"EUR";1,34252556341938;0,0231521300329332;871,724;0,040630879553501;1
2008;12;"USD";1;0,0172452060979496;649,3165;0,0302645109043698;0,744864773712781
2008;12;"UTM";57,9871295431427;1;37652;1,75495211437154;43,1925701254067
2009;1;"CLF";34,3160806124672;0,568383572005619;21379,1796774193;1;25,7936231742349
2009;1;"CLP";0,00160511680664304;2,65858456957516e-05;1;4,67744794275806e-05;0,00120648329652602
2009;1;"EUR";1,33040947294079;0,0220358174641154;828,855238095238;0,0387692722827281;1
2009;1;"USD";1;0,0165631844272776;623,007619047619;0,0291408570603688;0,751648285989397
2009;1;"UTM";60,3748635650714;1;37614;1,75937526918902;45,3806627155296
2009;2;"CLF";34,9150209359484;0,569341357187064;21158,4328571428;1;27,2478506371625
2009;2;"CLP";0,00165017046260879;2,69084842450825e-05;1;4,72624795395662e-05;0,00128780098323605
2009;2;"EUR";1,28138624219882;0,0208949089147808;776,5175;0,0367001424558651;1
2009;2;"USD";1;0,0163064876355515;605,998;0,0286409680760181;0,78040482023908
2009;2;"UTM";61,3252849019304;1;37163;1,7564155271289;47,8585479400014
2009;3;"CLF";35,4245397247074;0,569747752540587;21004,3206451613;1;27,1906350586743
